2022-04-16 22:03:44.920 [main] INFO  calculator.Calculator - [FACTORIAL] - 5.0
2022-04-16 22:03:44.925 [main] INFO  calculator.Calculator - [RESULT - FACTORIAL] - 120.0
2022-04-16 22:03:44.925 [main] INFO  calculator.Calculator - [FACTORIAL] - 3.0
2022-04-16 22:03:44.925 [main] INFO  calculator.Calculator - [RESULT - FACTORIAL] - 6.0
2022-04-16 22:03:44.926 [main] INFO  calculator.Calculator - [SQ ROOT] - 2.0
2022-04-16 22:03:44.926 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 1.4142135623730951
2022-04-16 22:03:44.926 [main] INFO  calculator.Calculator - [SQ ROOT] - 4.0
2022-04-16 22:03:44.927 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 2.0
2022-04-16 22:03:44.927 [main] INFO  calculator.Calculator - [NATURAL LOG] - 1.0
2022-04-16 22:03:44.927 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.0
2022-04-16 22:03:44.927 [main] INFO  calculator.Calculator - [NATURAL LOG] - 1.0
2022-04-16 22:03:44.927 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.0
2022-04-16 22:03:44.928 [main] INFO  calculator.Calculator - [FACTORIAL] - 3.0
2022-04-16 22:03:44.928 [main] INFO  calculator.Calculator - [RESULT - FACTORIAL] - 6.0
2022-04-16 22:03:44.928 [main] INFO  calculator.Calculator - [FACTORIAL] - 6.0
2022-04-16 22:03:44.928 [main] INFO  calculator.Calculator - [RESULT - FACTORIAL] - 720.0
2022-04-16 22:03:44.930 [main] INFO  calculator.Calculator - [POWER - 3.0 RAISED TO] 2.0
2022-04-16 22:03:44.930 [main] INFO  calculator.Calculator - [RESULT - POWER] - 9.0
2022-04-16 22:03:44.930 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 4.0
2022-04-16 22:03:44.930 [main] INFO  calculator.Calculator - [RESULT - POWER] - 16.0
2022-04-16 22:03:44.931 [main] INFO  calculator.Calculator - [POWER - 3.0 RAISED TO] 3.0
2022-04-16 22:03:44.931 [main] INFO  calculator.Calculator - [RESULT - POWER] - 27.0
2022-04-16 22:03:44.931 [main] INFO  calculator.Calculator - [POWER - 4.0 RAISED TO] 4.0
2022-04-16 22:03:44.932 [main] INFO  calculator.Calculator - [RESULT - POWER] - 256.0
2022-04-16 22:03:44.932 [main] INFO  calculator.Calculator - [NATURAL LOG] - 2.5
2022-04-16 22:03:44.932 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.9162907318741551
2022-04-16 22:03:44.932 [main] INFO  calculator.Calculator - [NATURAL LOG] - 2.14
2022-04-16 22:03:44.932 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.7608058290337602
2022-04-16 22:03:44.933 [main] INFO  calculator.Calculator - [SQ ROOT] - 9.0
2022-04-16 22:03:44.933 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 3.0
2022-04-16 22:03:44.933 [main] INFO  calculator.Calculator - [SQ ROOT] - 25.0
2022-04-16 22:03:44.933 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 5.0
